freq,sigma_ext,sigma_sc,d_wall_p
1795,0.00021289446993331756,5.259083708831141e-05,2
1800,0.00022940276537300385,5.7181503943184369e-05,2
1805,0.0002479061224526325,6.2345005537354009e-05,2
1810,0.00026872626322300996,6.8173446953982342e-05,2
1815,0.00029224509939430312,7.4777058438272551e-05,2
1820,0.00031891788742239847,8.2288380284864859e-05,2
1825,0.00034928971302565623,9.0867531639855209e-05,2
1830,0.00038401618282077945,0.00010070885884109098,2
1835,0.00042388939813822486,0.00011204933258444363,2
1840,0.0004698704860208876,0.00012517914380618273,2
1845,0.00052313010895240711,0.000140455022160689,2
1850,0.00058509834968096381,0.00015831683593732566,2
1855,0.00065752491761699491,0.00017930795674380237,2
1860,0.00074254924813188397,0.0002040995396530723,2
1865,0.00084277679092994366,0.00023351798703441238,2
1870,0.00096135079088246285,0.00026857287300098695,2
1875,0.0011019948994742614,0.00031047848137991763,2
1880,0.0012689756102041612,0.0003606541026701929,2
1885,0.001466886974333362,0.00042067370293863638,2
1890,0.0017000855778641242,0.00049211158264914285,2
1895,0.0019715051006243688,0.00057619724338695661,2
1900,0.0022805055181245636,0.00067316313854543874,2
1905,0.0026195239569059845,0.00078119190052880092,2
1910,0.0029699343094825355,0.00089505388837324642,2
1915,0.0032990544831531313,0.0010050006420228045,2
1920,0.0035622044111149791,0.0010971372440905837,2
1925,0.003713538183015517,0.0011565551422414114,2
1930,0.0037236663117022209,0.0011728287962291192,2
1935,0.0035934829447295574,0.0011446967567739815,2
1940,0.0033532319092975122,0.0010803160532179377,2
1945,0.0030478088024633908,0.00099303522611362063,2
1950,0.0027199087088052346,0.00089613875487605011,2
1955,0.0024004370839744919,0.00079962880343965924,2
1960,0.0021070956152052897,0.00070953572607683913,2
1965,0.001847345021703499,0.00062868011242546234,2
1970,0.0016222309819091695,0.00055779535203439765,2
1975,0.0014294312061179765,0.00049646462742193988,2
1980,0.0012652148321604956,0.00044374440673212789,2
1985,0.0011255370252448256,0.00039852535142440146,2
1990,0.0010065761223928018,0.00035971822702413064,2
1995,0.00090495249939193925,0.00032633681265026852,2
2000,0.00081778196189639669,0.00029752533323761804,2
2005,0.00074265143321978761,0.00027255847919504476,2
2010,0.00067756376406131699,0.00025082942835419109,2
2015,0.00062087499604020029,0.00023183383789373904,2
2020,0.00057123472350028767,0.00021515364844153768,2
2025,0.00052753368260637068,0.00020044236076923992,2
2030,0.00048885953172629387,0.00018741234352307156,2
2035,0.00045446037235648149,0.00017582420667908166,2
2040,0.00042371502436415362,0.00016547805112611055,2
2045,0.00039610895437324352,0.00015620632986316498,2
2050,0.00037121482580797682,0.00014786805178475278,2
2055,0.00034867677734800782,0.00014034408423594733,2
2060,0.0003281976874103865,0.00013353334575291002,2
2065,0.00030952882249161171,0.00012734971601157335,2
2070,0.00029246138778263054,0.00012171952218327609,2
2075,0.00027681959815530961,0.00011657948830513025,2
2080,0.00026245496825833502,0.00011187505692094869,2
2085,0.00024924158456017499,0.0001075590105701453,2
2090,0.00023707217294712617,0.00010359033539763947,2
2095,0.00022585481519711142,9.993328083785405e-05,2
2100,0.00021551019882333781,9.655657860228482e-05,2
2105,0.00020596930910177227,9.3432791528203206e-05,2
2110,0.00019717149106491605,9.0537768670403062e-05,2
2115,0.00018906282395056331,8.7850187620052992e-05,2
2120,0.00018159476205341187,8.5351168696838633e-05,2
2125,0.00017472300480204456,8.3023948580561357e-05,2
2130,0.00016840656570686629,8.08536032671912e-05,2
2135,0.0001626070150104562,7.8826812104743988e-05,2
2140,0.00015728787499156042,7.6931656159624572e-05,2
